,Average,Value,Weighted,Returns,--,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Small,Small,Small,Small,Small,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,Big,Big,Big,Big,Big,,,,,,
BE/ME,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,,,,,,
193910,-2.48,-6.96,-6.17,-5.93,-9.83,-4.65,-2.58,-1.68,0.95,-8.02,2.51,3.33,0.4,-1.68,-3.28,4.31,0.69,1.83,-3.57,-5.45,-0.12,-0.24,-0.44,-3.41,-4.99,,,,,,
193911,-16.03,-13.11,-10.86,-10.46,-19.48,-11.12,-7.69,-9.99,-10.41,-14.52,-5.84,-8.27,-5.86,-7.57,-13.19,-5.99,-5.58,-3.09,-5.72,-14.15,-2.06,-1.96,-2.92,-8.05,-11.83,,,,,,
193912,7.56,0.42,-1.05,0.95,-2.45,4.25,3.84,1.55,0.41,4.25,6.88,5.63,4.26,0.33,2.07,5.18,2.62,2.22,0.96,0.27,3.76,2.27,4.11,0.81,2.17,,,,,,
194001,-8.02,-7.53,-6.67,-4.66,-3.48,-5.96,-2.28,-3.36,-2.27,-3.48,-3.6,-1.4,-1.87,-0.49,-5.5,-1.23,-2.5,-0.51,-4.2,-6.07,-2.16,-1.81,-1.91,-5.07,-7.79,,,,,,
194002,0.33,-0.55,11.64,3.44,7.22,1.6,4.26,4.55,5.09,-0.04,3.46,5.15,3.4,2,3,2.29,2.23,3.42,3.88,0.57,0.57,1.83,-0.33,1.83,1.33,,,,,,
194003,7.48,6.44,-4.97,0.7,3.23,5.75,7.64,1.64,1.83,1.85,7.06,2.31,2.51,1.6,1.72,3.6,1.38,0.95,2.18,-0.26,2.67,0.83,2.04,2.3,2.87,,,,,,
194004,8.32,-1.6,2.58,0.75,10.33,6.4,5.74,1.95,3.48,0.2,4.73,2.17,3.66,2.47,2.96,-2.22,-0.06,0.15,1.85,-0.03,0.22,-0.05,-0.13,0.34,-2.49,,,,,,
194005,-40.94,-29.33,-31.9,-27.65,-34.87,-25.57,-25.83,-25.95,-27.82,-33.67,-26.35,-27.3,-27.85,-26.1,-27.77,-24.8,-26.9,-27.26,-24.44,-33.71,-21.48,-19.47,-21.6,-21.41,-27.28,,,,,,
194006,9.3,5.5,2.33,4.9,7.38,5.02,4.88,3.61,6.14,8.97,3.87,7.34,7.08,5.47,7.35,6.44,5.62,10.12,3.57,13.34,4.73,7.59,10.64,6.07,19.74,,,,,,
194007,1.35,1.63,0.47,1.9,2.07,3.73,5.56,4.44,5.31,1.39,7.5,6.71,6.33,4.89,3.16,3.77,3.8,3.51,3.9,4.92,3.95,1.95,3.47,2.96,2.86,,,,,,
194008,-1.32,0.44,8.07,2.53,1.07,3.22,0.94,5.03,2.37,2.66,1.92,3.13,1.79,1.74,0.01,1.3,1.86,3.28,2.9,2.69,2.96,0.49,2.08,2.96,3.88,,,,,,
194009,5.18,5.9,5.12,3.41,3.28,9.95,5.58,5.03,3.29,6.46,5.62,6.6,4.66,5.55,0.66,3.42,3.4,1.97,2.72,-0.52,3.46,2.19,-0.71,0.2,3.31,,,,,,
194010,1.67,9.97,4.58,5.32,4.96,5.85,1.49,7.73,7.09,8.21,3.08,4.1,6.16,4.89,8.93,4.2,8.26,3.18,9.32,13.69,0.14,2.57,6.72,8.77,8.53,,,,,,
194011,10.04,2.92,2.38,0.56,-0.64,-1.86,1.16,1.7,-0.92,-0.64,-0.42,0.41,1.37,3.11,-4.09,-1.63,-1.31,0.43,0.56,-1.09,-2.64,-0.39,-2.04,-0.54,-9.74,,,,,,
194012,-10.41,-1.64,-4.57,-2.48,-2.2,-1.4,-3.03,-0.13,-2.23,-3.88,0.56,-0.79,-0.22,-0.46,0.14,0.62,-2.42,0.14,1.55,-0.17,0.37,1.72,-0.46,1.34,1.11,,,,,,
194101,-6.89,-7.9,-5.22,0.73,-1.59,-4.35,-3.46,-4.02,0.5,0.15,-4.8,-4.81,-4.35,-3.68,-0.38,-5.46,-3.52,-3.03,-3.93,-0.98,-5.69,-3.79,-2.14,-2.9,1.26,,,,,,
194102,-3.84,-5.05,0.31,-4.61,-2.88,-0.65,-3.67,-1.75,-2.51,-2.21,-3.22,-1.66,-0.64,-2.2,-2.52,-2.56,-2.36,-0.75,-0.16,-2.2,-1.87,-1.72,-0.58,-1.08,-0.23,,,,,,
194103,-4.14,0.21,-0.66,0.24,3.61,-0.9,2.28,0.63,0.23,7.41,0.04,-0.25,0.99,2.76,2.22,0.84,-0.89,1.41,2.05,5,0.51,1.05,1.54,1.81,3.22,,,,,,
194104,-13.03,-7.94,-7.53,-2.66,-6.04,-7.03,-7.6,-5.33,-4.25,-5.63,-5.23,-6.46,-5.63,-5.75,-3.63,-7.49,-6.93,-5.12,-3.63,-3.74,-6.1,-5.85,-4.29,-3.06,0.3,,,,,,
194105,0.18,-5.57,3.71,0.99,-0.52,5.21,1.3,1.86,1.44,2.54,-0.61,1.02,2.31,1.9,0.32,3.2,2.31,0.23,-0.8,3.03,1.24,1.38,3.08,3.08,-0.91,,,,,,
194106,-2.31,10.45,10.46,6.14,13.2,4.02,5.41,7.95,6.6,10.04,3.76,6.5,5.72,6.56,8.42,4.71,7.26,4.87,5.76,5.04,6.72,4.86,7.31,3.64,2.47,,,,,,
194107,22.3,24.44,28.81,15.16,25.63,10.44,7.87,10.7,14,18.15,7.48,8.54,8.25,12.31,24.53,8.27,6.73,9.72,11.88,21.96,4.28,3.81,7.99,7.82,11.54,,,,,,
194108,-2.15,-1.08,-8.54,-2.63,1.17,1.38,0.04,-1.76,-1,-0.51,-2.6,-0.7,-0.49,-1.46,-1.47,0.34,0.72,0.75,0.7,-0.97,1.07,-0.04,-1.81,-1.44,-5,,,,,,
194109,-9.44,-3.54,-3.35,-2.64,-5.91,-3,-0.73,-2.72,0.61,-4.25,-1.78,-1.99,-0.88,-2.67,-0.48,-0.46,-2.48,-1.13,-0.36,-0.86,0.14,-1.01,-2.38,-1.42,-3.83,,,,,,
194110,-11.93,-0.03,-7.27,-9.02,-7.75,-6.3,-3.7,-7.18,-4.58,-7.49,-6.65,-5.98,-4.98,-6.74,-10.11,-4.88,-6.65,-4.68,-4.37,-5.88,-6.6,-3.95,-2.38,-1.94,-2.64,,,,,,
194111,-6.91,-6.03,-10.83,-4.31,-5.08,-3.1,-2.06,-5.75,-2.04,-4.58,-1.11,-0.35,-2.88,-1.42,-2.46,-0.48,-2.78,-0.17,-1.4,-3.87,-2.04,-1.63,-0.45,-1.26,-3.97,,,,,,
194112,-26.99,-15.78,-11.98,-15.21,-13.73,-5.94,-3.59,-9.65,-10.13,-12.99,-6.72,-4.53,-4.95,-6.38,-8.63,-3.96,-5.29,-5.46,-7.69,-9.76,-3.28,-5.49,-4.43,-9.09,-6.86,,,,,,
194201,36.45,8.35,14.1,18.07,27.8,13.24,6.81,12.22,10.75,15.4,3.74,2.56,6.03,7.85,11.07,-1.99,5.14,6.67,4.1,10.76,-3.08,-0.34,-0.64,9.82,16.9,,,,,,
194202,-6.65,-6.12,-2.75,-2.25,-1.35,-1.9,-0.14,-1.91,-0.95,-1.42,-0.63,-1.25,-2.28,-1.45,-1.97,-1.99,-2.2,-0.71,-3.61,0.95,-2.66,-2.26,-3.26,-2.5,-0.17,,,,,,
194203,-5.95,-6.56,-6.51,-3.48,-6.09,-4.55,-1.84,-1.8,-5.37,-6.65,-3.21,-1.93,-5.44,-4.62,-6.39,-5.83,-6.47,-4.1,-4.65,-5.41,-5.79,-7.16,-8.51,-6.04,-7.32,,,,,,
194204,-7.7,-4.28,-3.03,-5.06,-5.72,-7.41,-5.27,-3.63,-3.32,-6.23,-4.89,-5.68,-4.99,-3.97,-4.95,-7.66,-4.73,-5.47,-5.05,-3.32,-3.02,-6.23,-4.07,-2.98,0.3,,,,,,
194205,-3.35,-1.73,1.54,-1.34,-0.72,0.41,0.5,2.07,4.1,-0.01,1.04,2.05,2.74,4.26,0.05,3.55,3.25,4.95,2.33,3.34,8.41,6.14,5.29,1.91,-4.96,,,,,,
194206,-2.51,0.3,-0.94,6.39,3.02,2.37,2.65,-0.46,2.28,0.76,2.07,2.84,0.45,3.74,0.96,3.84,2.07,1.66,1.23,-0.64,4.31,1.39,2.2,2.26,5.61,,,,,,
194207,4.03,9.33,6.57,4.12,6.83,3.76,3.86,3.73,3.06,6.25,3.05,5.37,4.16,3.94,4.16,3.8,4.1,4.35,4.03,8.91,1.97,4.44,3.14,5.77,13.73,,,,,,
194208,-1.94,2.13,4.16,3.43,0.79,-1.4,3.75,2.82,2.36,1.71,4.02,3.37,1.43,3.26,2.94,3.3,1.88,1.62,2.15,3.56,1.32,1.93,1.03,4.5,2.7,,,,,,
194209,6.96,6.48,3.74,5.73,9.22,7.78,2.75,3.93,3.69,5.3,1.09,2.58,2.07,3.49,4.54,1.93,3.36,3.86,2.81,7.49,2.63,2.86,1.81,1.82,7.7,,,,,,
194210,5.01,5.52,15.32,10.14,12.08,10.44,6.56,8.26,10.54,18.07,10.15,7.77,7.82,9.39,14.44,7.12,7.27,7.68,8.12,12.94,4.7,5.68,9.38,11.6,12.06,,,,,,
194211,-3.1,2.68,-7.67,-2.8,-6.67,-0.41,-1.83,-0.65,-3.49,-5.96,-2.52,-0.82,-0.78,0.17,-5.61,0.84,-1.99,-0.06,-2.39,-1.38,1.07,2.27,1.14,-4.26,-9.02,,,,,,
194212,-0.86,-0.03,4.76,2.17,-1.9,-1.1,3.95,3.02,1.72,5.44,3.24,3.45,4.11,4.44,5.68,6.06,4.64,4.03,4.83,6.65,5.6,3.94,6.05,6.55,5.18,,,,,,
194301,18.68,33.96,20.18,22.48,33.78,15.48,11.22,12.84,18.17,23.41,7.37,10.34,11.51,14.03,19.9,4.82,9.39,8.24,12.41,11.71,5.64,5.51,8.7,8.13,9.63,,,,,,
194302,16.35,20.56,14,14.66,26.53,18.7,8.93,7.48,11.43,15.2,7.01,6.99,9.38,10.11,20.57,4.77,7.55,9.39,6.97,12.96,3.69,6.2,8.3,10.02,11.31,,,,,,
194303,15.88,0.61,17.78,20.5,15.43,14.21,10.88,15.27,13.8,15.77,7.5,10.41,10.45,13.86,14.78,8.17,8.1,6.93,13.82,14.43,4.02,4.71,7.81,7.2,15.77,,,,,,
194304,1.65,6.3,2.79,4.66,10.72,-2.49,3.24,3.06,5.83,9.01,-0.6,-0.62,2.27,4.62,8.16,0.27,0.59,2.07,2.33,12.14,-0.88,1.37,1.18,0.22,5.76,,,,,,
194305,4.59,8.37,11.13,8.55,16.48,14.73,8.54,9.89,8.89,12.66,4.23,6.42,7.86,7.07,13.01,3.17,5.32,6.72,6.07,10.62,5.48,4.61,7.51,5.56,5.87,,,,,,
194306,-2.06,-1.28,-2.7,2.8,-2.26,0.68,2.31,0.97,0.27,3.74,1.56,1.44,1.43,3.3,-4.11,1.93,1.49,1.1,0.9,-1.7,2.11,2.88,0.57,0.61,-3.65,,,,,,
194307,-19.52,-1.99,-8.89,-5.71,-9.19,-5.18,-5.24,-5.65,-8.32,-10.24,-3.19,-6.53,-5.44,-6.66,-9.48,-4.44,-4.5,-6.34,-10.27,-10.35,-5.22,-3.27,-1.51,-4.64,-4.06,,,,,,
194308,-10.39,-6.69,0.05,-1.28,-0.67,1.71,-0.12,-0.01,-0.05,-0.65,2.15,0.46,0.52,3.11,1.04,2.41,1.48,0.39,1.94,-1.78,1.34,1.42,1.15,0.62,0.67,,,,,,
194309,4.41,3.06,1.88,4.29,4.95,3.55,2.68,2.14,7.04,4.97,2.37,2.84,3.06,1.02,6.57,0.96,3.84,4.52,3.38,3.23,2.58,1.99,2.15,2.66,3.89,,,,,,
194310,-1.7,0.32,0.55,0.9,-1.09,-2.34,0.74,2.13,4.27,-2.1,-0.98,-0.4,-0.88,0.17,-2.23,-2.19,-1.96,-1.15,2.77,2.26,-2.01,-0.82,-1.73,1.2,-1.23,,,,,,
194311,-16.49,-6.37,-8.67,-10.8,-14.78,-7.64,-7.56,-6,-4.08,-14.47,-7.44,-6.32,-9.1,-7.87,-13.61,-6.21,-5.88,-7.17,-8.6,-15.48,-4.65,-4.63,-6.4,-7.1,-13.97,,,,,,
194312,10.86,4.9,9.81,11.56,12.1,6.9,6.96,13.73,12.66,12.89,8.61,8.18,9.22,10.48,13.34,6.63,7.53,8.22,12.19,12.69,5.24,5.98,6.01,6.04,8.66,,,,,,
194401,11.16,5.62,6.36,4.88,8.25,3.08,4.56,2.54,4.47,9.98,3.17,3.47,3.44,2.78,5.71,1.97,2.81,2.05,2.36,5.59,0.92,0.8,2.02,2.38,10.46,,,,,,
194402,2.93,0.83,1.43,2.46,4.3,2.01,0.7,1.84,-5.14,2.23,1.71,0.55,0.38,0.35,5.24,1.31,0.41,1.2,-1.09,6.3,0.2,-0.07,1.51,1.06,3.64,,,,,,
194403,3.26,10.41,3.15,2.25,7.81,1.88,2.41,6.43,3.82,11.11,3.46,2.27,4.16,5.45,5.51,0.88,3.14,2.96,7.77,2.45,2.59,1.62,1.2,3.2,5.68,,,,,,
194404,-7.05,0.32,-2.3,-1.89,-4.55,-1.26,-1.99,-3.07,-3.51,-6.74,-2.55,-2.49,-3.07,-1.93,-1.79,-2.37,-3.1,-3.06,-2.91,-4.95,-1.32,-1.45,-1.52,-0.68,-2.4,,,,,,
194405,11.75,5.51,12.56,7.52,9.39,4.56,5.76,5.11,5.67,7.32,6.55,6.95,7.6,7.36,8.52,4.7,5.15,5.53,7.96,7.64,4.55,4.65,4.52,4.38,7.34,,,,,,
194406,32.76,14.35,10.8,18.22,15.87,12.73,11.03,4.89,7.77,10.14,6.75,8.59,9.86,9.25,10.48,6.29,7.94,7.7,11.31,10.32,5.56,3.55,3.05,6.33,6.62,,,,,,
194407,-6.42,-3.93,-1.31,-0.48,-3.75,0.15,-0.51,-2.71,-1.4,-1.16,0.26,0.22,0.69,-2.1,-0.24,-0.13,-2.1,-1.2,-1.83,-1.03,-1.94,-1.55,-0.94,-0.86,-0.83,,,,,,
194408,9.42,3.36,4.29,1.85,3.41,2.61,3.2,5.71,3.02,-0.79,2.67,5.33,3.36,3.96,1.37,0.98,2.95,2.34,3.26,0.94,1.91,0.23,1.98,0.78,0.46,,,,,,
194409,-3.39,2.82,0.45,0.63,-1.01,2.54,-0.46,-1.25,1.03,0.78,1.08,0.84,-0.99,2.18,0.02,-0.23,-0.96,-0.86,1.42,-0.64,0.32,-0.28,0.27,-0.23,0.05,,,,,,
194410,1.62,0.37,2.46,-0.39,0.78,0.52,0.31,0.52,0.46,-0.81,-1.64,1.26,0.06,0.02,-0.78,-0.43,-0.79,-0.59,0.03,-1.29,-0.24,0.99,1.46,-0.49,1.24,,,,,,
194411,2.75,-0.98,6.38,4.89,1.9,2.63,1.05,2.85,1.96,3.92,0.93,3.43,1.34,3.09,2.6,1.64,2.14,2.02,5.1,1.49,1.01,1.63,2.38,2.43,4.12,,,,,,
194412,3.72,2.75,6.45,7,11.9,7.85,6.23,6.81,6.62,16.66,5.2,8.21,5.03,6.86,12.21,3.42,4.56,5.91,5.04,12.25,2.4,3.15,5.04,5.16,12.25,,,,,,
194501,20.46,5.68,5.55,3.56,5.6,3.73,4.6,4.57,6.49,3.14,4.31,4.38,3.92,3.86,2.94,2.38,4.16,2.45,3.37,2.06,0.73,0.83,2.88,6.53,-0.13,,,,,,
