,Average,Value,Weighted,Returns,--,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Small,Small,Small,Small,Small,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,Big,Big,Big,Big,Big,,,,,,
BE/ME,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,,,,,,
196407,0.84,4.09,3.16,2.74,4.7,1.06,1.72,3.99,3.06,2.48,2.42,2.58,3.12,3.19,1.67,1.58,3.4,1.67,1.6,2.67,2.57,0.59,3.95,1.79,0.81,,,,,,
196408,1.23,-1.98,-1.74,-0.94,-0.44,-1.79,-2.55,-1.04,0.08,-1.66,-2.83,-0.76,0.5,-0.15,-1.92,-1.09,0.14,1.03,-0.02,-0.74,-1.26,-1.61,-0.07,-0.86,-2.97,,,,,,
196409,4.7,4.36,6.02,2.71,3.96,3.54,2.27,2.5,2.19,4.61,1.39,1.95,3.19,3.26,3.69,3.15,3.37,4.35,4.66,4.36,3.09,1.25,4.44,4.59,7.13,,,,,,
196410,1.83,0.38,2.36,2.33,3.27,-1.48,1.9,2.07,1.19,1.48,3.45,3.54,1.8,1.31,2.66,1.03,1.12,1.32,3.1,3.85,0.35,1.16,0.35,0.38,4.12,,,,,,
196411,-0.13,-0.17,0.78,0.67,0.4,-0.7,-0.25,0.16,-0.61,-1.77,1.5,0.46,-0.06,0.48,-0.06,0.71,1.43,-0.82,-0.6,-4.68,1.04,-0.35,1.49,-1.35,-4.47,,,,,,
196412,-1.47,-1.81,-2.55,-2.49,-2.01,1.43,0.08,0.59,-1.63,-1.51,0,0.91,-0.44,-1.8,-0.81,1.07,0.06,-1.46,-1.2,-1.44,0.83,1.42,-0.93,-1.18,-1.3,,,,,,
196501,8.67,5.85,5.85,7.26,8.93,7.65,5.98,5.57,5.69,6.49,5.25,6.23,5.3,5.89,7.09,6.59,4.11,5.48,4.94,6.68,4.71,1.15,3.1,3.6,3.68,,,,,,
196502,1.47,1.37,2.53,3.12,3.72,3.44,4.02,3.67,3.54,3.54,3.81,4.94,4.74,2.9,4.01,1.45,3.47,4.09,2.91,1.05,0.17,-0.1,0.08,-0.38,-1.24,,,,,,
196503,1.36,2.78,1.15,2.42,3.34,2.02,-1.5,1.03,1.38,0.49,-0.13,-0.36,-0.37,1.56,1.26,-0.71,-0.34,-0.28,0.44,1.25,-1.31,-1.66,-1.64,-0.6,0.32,,,,,,
196504,3.35,4.68,4.9,4.29,4.4,0,4.51,4.62,4.76,5.09,2.76,2.99,4.4,3.43,6.01,2.89,3.01,4.72,4.4,2.72,4.58,1.89,2.11,2.15,4.62,,,,,,
196505,-0.59,-2.38,-1.57,-0.4,-1.21,1.27,-1.37,-0.9,-0.37,-2.17,-0.46,0.38,-1.48,-0.8,-0.02,-0.97,-0.08,-0.97,-0.41,-4.08,-0.73,0.86,-0.23,-0.6,-3.36,,,,,,
196506,-12.4,-10.66,-9.55,-8.02,-9.58,-10.38,-8.35,-9.09,-8.47,-8.15,-6.93,-9.31,-8.46,-8.72,-8.5,-6.55,-6.96,-8.06,-8.61,-8.3,-4.42,-3.64,-4.98,-3.65,-5.61,,,,,,
196507,2.34,3.85,3.22,2.35,4.31,3.88,1.18,2.69,3.71,4.22,1.1,4.59,2.52,4.39,4.85,2.71,2.93,4.21,2.71,6.42,1.52,-0.05,1.89,3.87,4.82,,,,,,
196508,2.89,5.54,5.46,3.85,3.95,7.46,3.94,5.07,4.54,4.09,7.73,5.17,7.44,3.54,6.23,4.19,3.92,5.43,3.03,4.88,3.26,1.32,3.49,1.12,2.17,,,,,,
196509,3.05,7.02,0.85,3.91,3.17,5.55,3.88,2.91,4.87,2.85,2.44,4.46,2.52,5.15,4.6,3.73,3.68,1.72,2.76,4.06,3.93,2.32,2.48,3.52,3.22,,,,,,
196510,6,8.71,6.54,5.66,8.99,4.7,7.14,4.05,5.67,5.26,4.69,4.39,5.77,5.36,5.36,4.23,3,3.24,4.29,8.66,3.14,0.26,3.05,4.42,5.22,,,,,,
196511,3.59,6,3.05,7.81,6.63,1.43,5.04,4.59,5.41,4.01,3.92,3.69,5.24,2.85,2.74,3.4,2.5,3.94,1.21,5.61,-0.3,-1.84,1.25,-1.28,-2.3,,,,,,
196512,6.4,7.09,2.92,3.97,5.04,3.75,4.49,4.01,2.65,7.25,2.53,1.6,3.74,1.98,5.49,1.18,1.43,1.31,4.49,5.56,1.01,-0.2,1.26,2.8,2.71,,,,,,
196601,5.87,6.8,7.85,9.7,9.26,4.94,5.35,5.01,5.27,6.47,4.6,2.66,2.83,4.7,6.31,0.63,2.08,5.04,4.22,6.25,-0.37,-0.57,1.73,3.06,3.15,,,,,,
196602,6.5,6.09,1.37,4.69,6.14,5.08,5.3,1.86,-0.11,3.41,-0.04,1.88,4.24,2.66,2.77,2.31,-1.6,0.82,0.45,2.49,-1.33,-2.3,-1.69,-1.97,-1.72,,,,,,
196603,0.6,-0.81,-1.59,-0.88,-0.69,0.18,-1.71,-2.25,-3.64,-1.62,-1.61,-4.83,-2.14,-3.49,-3.78,-0.08,-1.26,-3.68,-2.41,-2.87,-1.47,-3.44,-1.09,-2.15,-5.06,,,,,,
196604,10.43,4.51,6.22,6.61,3.96,2.7,4.75,3.64,8.13,8.68,3.51,4.44,3.19,4.11,2.86,4.04,2.51,3.97,4.48,1.13,2.11,1.91,1.22,2.41,1.8,,,,,,
196605,-12.39,-13.05,-10.86,-10.7,-11.85,-9.81,-9.77,-9.04,-10.04,-9.16,-5.75,-7.71,-7.89,-10.06,-9.77,-5.11,-5.05,-7.27,-8.55,-10.49,-4.19,-3.86,-4.73,-5.51,-5.46,,,,,,
196606,-0.68,-0.08,0.89,1.59,0.36,1.36,0.13,0.24,-0.51,0.28,-0.3,-0.11,2.61,-0.24,-0.75,-1.06,-0.39,0.01,3.71,0.86,-2,-1.49,-0.69,0.86,-1.19,,,,,,
196607,-2.17,-1.71,-2.39,0.06,-1.04,-3.17,-1.23,-1.11,-1.69,-1.74,-0.97,-1.85,-0.71,-1.03,-1.38,-1,-1.36,-1.91,-2.63,-1.91,-1.69,-1.48,-0.75,0.91,-1.4,,,,,,
196608,-11.65,-10.95,-10.02,-10.97,-10.43,-12.77,-10.6,-9.55,-9.68,-11,-10.58,-8.72,-8.12,-9.83,-8.72,-9.36,-7.73,-7.89,-6.92,-10.11,-7.19,-8.66,-5.77,-6.27,-7.82,,,,,,
196609,-1.83,-2.3,-1.49,-1.92,-1.19,-1.82,0.73,-2.19,-1.82,-1.81,-2.27,-4.6,0.26,-0.44,-1.42,-0.94,0.31,-1,-3.2,-0.01,-1.31,0.76,0.52,0.32,-1.8,,,,,,
196610,-8.06,-4.46,-4.5,-0.98,-1.49,-5.36,-0.57,-0.94,0.32,-0.13,-2.07,1.63,3.3,4.89,1.65,0.36,5.04,3.74,3.94,1.48,2.94,5.69,9.16,6.36,6.28,,,,,,
196611,8.74,3.14,4.38,2.29,3.71,7.76,2.73,7.62,1.93,2.56,9.86,6.78,0.96,4.68,0.52,8.38,1.44,1.31,1.94,1.11,3.67,1.85,-2.49,-1.58,-0.66,,,,,,
196612,4.25,2.46,2.88,0.95,0.14,4.75,3.05,1.09,2.24,0.62,3.05,3.36,0.86,3.16,-0.45,3.18,2.19,1.59,3.66,2.2,-0.87,-0.01,1.6,-0.07,-0.32,,,,,,
196701,19.62,21.41,18.9,20.19,17.6,16.97,16.06,18.04,17.39,20.35,17.21,14.2,12.37,13.37,14.39,9.83,6.64,10.44,10.99,13.31,7.73,7.06,4.94,7.82,14.13,,,,,,
196702,7.06,5.56,5.51,4.6,5.96,3.25,1.96,2.54,3.25,1.74,1.91,1.96,1.76,0.7,0.74,2.88,-0.47,-0.19,1.11,0.4,2.3,0.83,-0.8,-0.88,-1.3,,,,,,
196703,7.03,6.33,4.61,7.46,5.26,6.87,5.92,7.4,6.57,6.54,5.6,5.56,4.69,7.87,4.07,5.71,4.02,5.76,4.46,5.71,4.26,2.98,3.37,4.59,5.56,,,,,,
196704,6.61,4.61,3.54,4.02,3.62,3.2,3.66,5.2,3.9,3.52,5.54,4.52,3.24,5.63,2.84,6.72,3.05,4.29,3.34,3.25,6.89,2.89,0.09,3.48,1.86,,,,,,
196705,0.24,0.94,-0.95,-0.94,-0.62,-1.28,0.76,0.29,-2.63,-3.29,-3.24,-1.62,-1.7,0.06,-1.89,-2.33,-0.83,-2.1,-1.32,-0.55,-5.65,-4.11,-4.19,-3.76,-3.5,,,,,,
196706,15.77,9.79,11.46,12.27,10.16,10.25,6.23,7.56,9.41,6.27,4.82,8.26,4.22,4.92,3.66,3.02,2.25,3.74,6.78,6.44,1.42,0.4,1.71,2.98,2.9,,,,,,
196707,9.28,10.06,9.63,7.34,12.07,6.17,6.82,9.5,8.89,8.34,5.38,5.21,6.26,7.4,11.45,4.8,4.66,5.24,7.14,9.13,4.45,5.64,2.17,5.87,6.46,,,,,,
196708,-0.68,0.62,0.32,0.29,2.1,-1.18,-1.31,0.68,0.5,0.92,-3.03,1.26,1.22,1.35,-0.26,-0.9,-0.97,-0.65,1.11,3.94,-0.57,-1.02,-1.47,0.46,1.34,,,,,,
196709,12.01,9.9,8.32,7.6,4.87,5.1,5.89,7.08,5.44,2.84,5.66,2.27,2.86,4.48,2.77,3.64,1.54,2.53,3.53,0.43,3.8,3.15,3.38,1.62,0.25,,,,,,
196710,1.84,-4.08,-1.9,-1.35,-2.8,-0.77,-2.32,0.65,-2.56,-4.98,-3.5,-1.28,-3.53,-3.08,-2.72,-4.65,-5.5,-5.5,-2.55,-5.18,-0.25,-4.02,-2.93,-6.15,-6.51,,,,,,
196711,-0.82,3.54,-1.09,-1.35,-1.27,1.09,0.58,2.44,-0.06,0.14,2.69,0.8,0.16,-0.26,-1.1,3.47,0.37,0.07,-0.11,-0.55,1.32,0.28,0.18,-0.55,0.06,,,,,,
196712,12.85,10.61,8.74,9.96,9.9,12.4,6.29,9.21,7.27,9.66,7.7,6.11,5.66,5.45,6.52,1.51,2.75,4.35,4.56,4.01,1.95,3.05,2.32,5.59,2.79,,,,,,
196801,3.14,2.56,2.95,3.35,6.08,-4.58,-2.17,-0.52,1.35,2.29,-6.88,-1.15,-0.68,-0.71,3.22,-8.07,0.16,-3.08,0.16,-0.73,-6.28,-5.85,0.51,-2.28,-3.85,,,,,,
196802,-10.07,-7.09,-5.39,-7.24,-5.24,-6.92,-6.26,-8.98,-3.32,-5.39,-6.9,-3.79,-2.95,-2.6,-4.73,-5.42,-3.46,-2.64,-5.02,-4.26,-3.02,-2.21,-2.11,-3.25,-1.9,,,,,,
196803,-1.4,-0.12,-0.3,-2.13,0,-0.39,-1.95,-0.14,-1.18,-0.53,2,-0.43,-2.27,0.73,-0.37,0.34,-0.19,-1.33,0.23,0.03,3.09,-1.38,-0.22,-1.79,2.03,,,,,,
196804,21.29,17.72,16.28,16.63,15.53,18.99,12.91,17.78,12.11,12.72,16.16,11.24,8.57,10.62,17.84,12.77,7.32,8.65,12.8,11.53,10.74,7.4,3.5,9.41,10.51,,,,,,
196805,10.6,12.75,10.57,11.81,11.94,11.92,7.72,8.16,6.62,7.28,8.8,4.57,4.87,5,7.36,4.47,4.65,2.76,2.77,6.26,2.26,1.26,-0.8,-0.98,4.65,,,,,,
196806,-0.88,-0.09,1.69,1.53,0.35,-1.14,1.76,-1.48,1.84,0.67,-2.02,2.93,3.4,1.89,1.02,-0.1,4.01,3.7,2.88,-2.45,-0.08,0.62,4.27,3.18,-1.6,,,,,,
196807,-4.76,-4.68,-3.48,-1.55,0.69,-8.87,-4,-2.48,-0.48,-0.29,-5.59,-3.91,-3.58,-0.78,-0.19,-5.47,-3.64,-3.75,-1.19,-2.21,-5.32,-1,2.6,0.89,1.14,,,,,,
196808,4.6,5.89,4.27,4.79,4.74,1.57,3.39,3.33,1.59,7.08,2.99,3.07,3.29,2.18,4.96,1.87,1.22,2.01,1.74,3.18,0.94,1.07,1.91,1.67,2.9,,,,,,
196809,7.31,8.5,6.96,6,6.27,7.09,6.35,7.18,5.87,6.27,6.89,6.59,3.2,6.17,6.38,6.55,6.07,5.24,6.75,5.69,1.95,5.38,2.5,4.25,8.3,,,,,,
196810,-2.11,0.03,1.53,0.48,1.65,-0.31,0.73,2.06,1.88,0.95,-0.47,2.42,3.03,2.67,0.82,-0.33,0.5,2.25,0.85,2.52,-1.85,2.23,1.98,3.84,1.15,,,,,,
196811,6.83,7.59,6.42,6.67,7.02,10.08,9.1,8.16,8.96,5.88,8.35,7.06,8.28,9.44,7.73,6.84,7.91,7.18,7.2,8.49,6.37,2.77,5.92,4.53,3.8,,,,,,
196812,4,2.21,1.14,-0.43,0.55,-0.1,0.62,-1.62,-3.03,-3.54,-2.72,-4.01,-1.2,0.16,-2.87,-3.97,-4.52,-3.78,-1.79,-0.56,-5.28,-4.44,-2.99,-3.43,-3.03,,,,,,
196901,-0.59,-2.05,-2.34,-1.31,-1.38,-2.69,-1.03,-1.47,1.16,0.64,-3.48,-1.01,-0.84,-0.83,-1.21,-2.1,0.31,0.03,-0.33,1.28,-2.3,-0.26,0.73,-0.37,1.62,,,,,,
196902,-12.47,-10.71,-9.07,-8.84,-8.66,-11.05,-8.09,-4.77,-7.28,-7.44,-9.5,-8.32,-6.06,-7.02,-5.79,-8.15,-7.55,-4.81,-7.41,-8.81,-3.34,-3.22,-4.93,-4.63,-6.22,,,,,,
196903,3.11,2.57,3.32,4.32,2.37,4.23,1.67,2.11,0.4,5.41,1.82,2.29,0.64,2.77,2.74,4.79,-2.15,2.91,1.07,3.56,4.13,3.12,3.91,1.95,4.91,,,,,,
196904,1.22,-0.52,0.99,2.55,0.13,1.55,1.17,1.37,-0.67,4.68,1.81,0.04,0.27,2.02,0.48,2.75,2.38,0.68,-1.24,2.14,3.7,1.26,0.89,3.01,0.82,,,,,,
196905,1.02,0.94,0.7,0.91,0.36,-1.96,-1.52,-0.84,-0.06,0.49,-0.14,-0.12,1.3,1.55,-1.89,-0.26,-0.97,2.49,0.3,-2.42,-0.54,0.81,0.66,1.47,0.63,,,,,,
196906,-14.31,-12.84,-13.34,-12.81,-12.26,-12.18,-11.04,-9.26,-10.15,-10.94,-9.89,-9.45,-11.28,-9.78,-9.05,-7.1,-8.77,-8.07,-7.37,-8.55,-1.52,-6.77,-7.81,-6.69,-8.45,,,,,,
196907,-12.94,-11.36,-11.01,-10.46,-7.88,-10.88,-9.93,-8.47,-7.16,-8.37,-9.88,-10.54,-6.48,-5.76,-7.62,-6.63,-8.17,-6.99,-5.54,-7.86,-4.02,-5.7,-6.28,-8.16,-5.71,,,,,,
196908,5.05,4.72,5.11,3.29,2.67,7.32,6.47,3.9,3.4,2.67,9.38,8.09,7.17,2.66,5.6,9.92,5.62,4.48,3.58,2.77,7.01,4.8,3.92,4.43,1.98,,,,,,
196909,-2.85,-5.01,-5.1,-2.21,-3.36,1.35,-0.6,-1.78,-0.98,-1.42,0.01,0.49,-1.61,-2.23,-3.61,0.59,-1.61,-2.35,-2.96,-3.64,-0.49,-2.07,-2.61,-5.69,-4.59,,,,,,
196910,14.31,12.43,9.24,7.94,6.32,10.98,8.22,7.07,6.46,6.97,8.89,6.98,7.37,8.57,6.89,8.95,7.66,8.1,6.2,5.24,5.98,5.67,4.33,2.2,3.86,,,,,,
196911,-8.5,-7.23,-6.12,-6.04,-7.28,-3.73,-5.46,-3.07,-5.87,-5.32,-4.57,-4.38,-6.66,-3.27,-5.55,-2.13,-3.81,-3.27,-5.3,-5.89,-1.39,-3.37,-3.86,-4.52,-1.96,,,,,,
196912,-8.18,-7.4,-6.02,-8.22,-8.49,-4.29,-5.66,-7.33,-6.54,-6.03,-3,-1.65,-4.17,-4.7,-5.1,0.43,-4.3,-1.92,-1.79,-4.02,1,-1.76,-1.48,-1.81,-5.24,,,,,,
197001,-4.8,-3.14,-4.24,-2.47,0.24,-6.98,-6.45,-2.12,-4.08,-1.8,-9.56,-6.55,-8.06,-3.88,-3.42,-7.94,-11.46,-7.74,-6.18,-6,-8.52,-6.88,-8.4,-9.67,-4.35,,,,,,
197002,2.32,3.66,3.77,3.18,4.58,2.72,2.84,2.74,8.18,7.06,4,2.19,5.81,5.57,7.4,4.3,5,6.58,8.91,6.94,3.57,5.84,9,6.9,8.16,,,,,,
197003,-6.57,-5.2,-2.56,0.31,-1.29,-5.87,-2.65,-0.1,-0.15,0.69,-3.89,-0.56,-1.22,1.84,1.08,-4.17,0.24,1.42,0.89,2.66,-2.46,0.24,2.84,0.64,1.61,,,,,,
197004,-24.09,-18.97,-14.76,-12.98,-12.25,-22.19,-16.62,-14.7,-10.91,-11.16,-20.37,-13.7,-13.43,-8.57,-10.83,-15.71,-15.05,-9.77,-9.68,-9.41,-10.52,-8.09,-9.15,-6.99,-8.06,,,,,,
197005,-10.07,-10.18,-9.13,-8.12,-10.37,-12.94,-8.81,-10.41,-8.29,-8.16,-11.1,-10.95,-13.2,-6.99,-7.57,-11.01,-9.91,-7.39,-7.45,-8.54,-8.03,-5.81,-5.08,-0.05,-4.06,,,,,,
197006,-12.3,-8.82,-7.12,-8.28,-6.2,-10.34,-6.75,-7.88,-7.04,-6.06,-8.5,-4.24,-7.06,-4.53,-6.97,-2.51,-5.57,-3.59,-3.11,-9.91,-6.27,-4.24,-3.78,-2.06,-8.25,,,,,,
197007,5.06,5.09,5.2,6.69,3.76,6.92,7.56,5.91,10.51,7.47,7.53,6.63,9.65,5.51,7.05,5.92,9.64,8.22,9.05,11.02,4.5,8.26,9.02,10.72,6.14,,,,,,
197008,5.38,6.42,6.76,6.73,6.42,9.76,9.39,5.81,7.77,4.25,5.82,7.74,6.73,5.21,7.7,4.54,8.16,3.98,5.44,6.86,4.08,5.21,4.41,4.88,6.2,,,,,,
197009,22.04,16.61,16.05,11.66,11.57,18.11,18.61,10.1,7.2,9.28,15.17,9.7,9.13,5.06,6,9.55,6.07,4.89,3.72,7.81,7.09,0.35,-0.22,0.3,4.39,,,,,,
197010,-11.17,-7.29,-11.25,-6.23,-5.14,-4.47,-8.12,-6.36,-3.91,-4.01,-5.86,-4.35,-6.3,-2.64,-4.43,-2.68,-3.39,-3.29,-3.39,-6.3,-0.13,-0.97,-3.58,0.14,-3.77,,,,,,
197011,-4.59,-2.17,-2.06,0.36,0.29,0.83,1.15,2.96,5.79,3.56,2.93,3.24,4.47,4.97,1.82,4.73,3.18,6.32,8.47,4.57,5.11,6.83,5.03,5.94,5.68,,,,,,
197012,6.93,7.6,10.44,11.57,10.61,8.75,8.3,8.23,9.23,10.1,6.27,9.65,10.48,7.94,8.7,6.25,10.48,8.6,9.93,7.8,4.74,5.76,7.69,5.06,6.91,,,,,,
197101,15.02,13.86,16.33,14.02,16,7.54,13.19,12.78,11.23,13.06,8.25,8.62,11.09,7.77,8.6,5.24,7.21,5.05,8.67,14.03,4.03,4.35,3.3,2.85,4.03,,,,,,
197102,8.13,7.35,5.85,3.32,4.13,4,3.6,2.93,1.48,0.97,4.07,1.7,2.42,1.28,1.88,3.43,3.15,0.27,3.18,1.09,2.31,0.37,0.63,0.54,1.25,,,,,,
197103,8.01,4.85,8.07,6.66,4.98,7.96,6.77,5.75,4.55,1.57,10.41,8.98,3.42,3.24,5.08,6.93,5.99,4.77,2.32,3.74,5.72,2.83,4.83,1.52,2.5,,,,,,
197104,0.68,3.38,1.92,2.67,1.89,2.23,2.44,2.02,3.4,6.81,6.19,4.77,4.98,2.03,7.97,2.89,3.31,1.9,4.02,9.35,3.52,5.74,0.71,2.59,6.15,,,,,,
197105,-6.68,-5.05,-7.31,-4.91,-6.57,-3.47,-5.53,-5.22,-4.36,-4.65,-4.57,-3,-4.97,-3.7,-3.21,-2.14,-3.35,-4.12,-3.06,-4.41,-2.46,-4.34,-4.1,-5.06,-3.65,,,,,,
197106,-0.52,-3.62,-2.61,-1.06,-2.2,4.05,-2.29,0.36,-1.96,-3.36,-1.69,2.45,-1.41,-1.87,-2.24,1.25,1.14,2.4,0.66,-4.15,1.19,-0.88,-0.36,0.88,-0.28,,,,,,
197107,-8.56,-8.25,-7.34,-5.93,-5.91,-6.41,-4.79,-3.94,-6.19,-5.63,-8.02,-4.51,-3.13,-5.89,-5.82,-3.43,-4.19,-3.87,-4.13,-8.12,-3.9,-4.33,-3.09,-3.48,-5.49,,,,,,
197108,3.31,4.31,2.96,4.54,5.65,4.08,7,3.51,5.91,7.71,6.55,4.79,1.98,7.13,8.78,6.71,4.29,2.19,3.49,9.64,5.33,4.85,-1.18,1.95,13.59,,,,,,
197109,1.39,1.99,-0.06,-0.66,-2.37,2.1,-1.25,-2.07,-1.69,-2.98,1.13,0.37,-0.85,-1.18,-3.39,1.85,-0.95,-0.32,-0.09,-4.65,0.28,-1.19,-1.28,-1.4,-2.15,,,,,,
197110,-7.73,-6.88,-7.23,-4.37,-7.26,-5.96,-5.49,-3.3,-4.32,-6.19,-7.99,-6.29,-3.58,-4.74,-5.66,-3.32,-3.25,-2.27,-5.55,-6.06,-3.54,-6,-3.06,-2.8,-4.02,,,,,,
197111,-3.39,-5.68,-4.02,-4.41,-5.57,-1.89,-2.13,-1.61,-2.57,-2.63,-1.92,-1.06,-0.96,-4.23,-5.5,0.51,-1.88,-2.62,0.54,-3.87,1.05,0.67,0.18,-0.6,0.28,,,,,,
197112,14.61,14.04,10.94,11.74,13.33,13.07,14.16,12.99,11.14,12.8,14.12,9.57,10.37,12.01,12.84,12.35,9.91,8.77,8.13,12.42,8.39,9.83,8.53,7.02,8.94,,,,,,
197201,13.07,13.52,11.21,11.07,14.88,9.4,6.7,5.92,6.28,11.07,6.06,3.93,2.8,5.77,8.78,2.64,1.94,1.52,3.15,8.27,2.69,0.64,-0.7,0.79,6.38,,,,,,
197202,2.96,5.4,3.91,4.54,3.54,5.09,4.38,4.5,1.7,4.12,6.88,3.92,2.33,-0.72,1.82,5.66,1.81,0.09,2.09,0.16,4.66,2.37,1.26,0.38,0.06,,,,,,
197203,2.99,-0.09,-1.96,-1.49,-0.46,1.89,1.88,-1.09,-0.07,-1.57,2.44,1.19,2.08,0.26,-1.8,1.16,-0.23,2.84,1.72,0.92,2.56,0.4,-3.02,-1.96,2.86,,,,,,
197204,-1.23,0.52,-1.3,1.5,1.03,-0.3,0.8,2.51,2.02,1.63,1.6,-0.65,-0.11,0.72,0.61,-0.61,-0.7,-0.26,1.15,3.66,0.98,1.18,0.26,0.09,-1.09,,,,,,
197205,-1.43,-1.71,-4.36,-2.13,-2.3,-0.5,-1.7,-1.99,-3.46,-1.38,1.21,-1.76,0.82,-1.19,-3.37,3.56,-1.48,-1.5,-0.17,0.6,3.26,-0.5,2.92,1.02,-2.67,,,,,,
197206,-4.25,-4.66,-3.66,-3.01,-3.76,-4.42,-1.97,-1.46,-1.44,0.6,-0.11,-1.71,-4.28,-4.12,-6.21,-4.12,-1.82,-2.25,-4.47,-7.75,-0.7,-3.43,-2.67,-2.29,-6.67,,,,,,
197207,-7.24,-4.89,-3.9,-3.39,-2.84,-5.26,-4.63,-3.59,-1.66,-3.86,-3.25,-1.88,-3.25,-0.62,-0.69,-3.4,-4.24,-2.05,-0.12,-2.09,1.62,-1.17,0.07,-1.29,-1.99,,,,,,
197208,-1.55,-2.64,0.68,-0.06,2.28,-0.58,-1.47,2.19,1.94,4.92,0.3,2.44,3.09,5.25,4.13,0.04,2.92,5.16,5.22,7.07,0.76,6.83,7.13,9.09,6.06,,,,,,
197209,-5.04,-4.84,-4.72,-3.75,-4.23,-3.42,-3.74,-2.18,-2.22,-3.31,-1.68,-2.3,-1.12,-1.86,-2.61,-1.57,-3.07,-0.51,-2.36,-4,0.15,-1.7,-1.76,1.94,-4.03,,,,,,
197210,-3.36,-3.28,-2.69,-1.91,-1.93,-4.08,-0.58,1.37,0.49,-0.69,-2.72,-0.7,1.4,0.65,0.45,-1.73,-0.03,1.48,2.3,-0.96,1.01,1.04,2.07,2.36,1.54,,,,,,
197211,-0.21,3.94,4.55,5.9,5.92,4.37,5.09,7.34,4.63,7.78,3.02,4.06,6.54,7.65,7.38,6.81,7.68,7.02,6.92,11.05,1.59,6.62,6.81,7.88,14.11,,,,,,
197212,-1.78,-2.47,-2.91,-2.56,-1.54,-0.65,-2.9,0.07,-2.78,-2.26,1,-0.21,-0.64,-1.1,-2.33,0.61,-1.26,-0.77,-1.77,-4.41,3.74,-0.14,-0.76,0.05,-2.63,,,,,,
197301,-8.08,-4.99,-3.31,-3.62,-1.38,-10.55,-5.38,-6.54,-2.64,-5.86,-7.49,-7.43,-5.94,-3.83,-4.33,-6.36,-7.46,-5.65,-3.44,-4.25,-1.63,-3.87,-1,0.76,-4.14,,,,,,
197302,-14.04,-8.66,-8.56,-8.27,-6,-14.04,-8.16,-7.69,-5.79,-5.6,-10.96,-8.24,-7.98,-2.97,-6.67,-8.33,-7.8,-4.41,-3.68,-2.07,-2.2,-3.04,-4.91,-5.95,-3.27,,,,,,
197303,-7.15,-4.03,-2.63,-0.88,-1.84,-4.9,-2.62,-2.6,-1.55,-0.15,-4.9,-4.32,-1.93,-1.68,-0.7,-3.84,-4.14,-1.96,-2.13,0.82,-0.73,-0.99,1.81,1.89,1.73,,,,,,
197304,-11.97,-9.84,-6.54,-6.45,-5.51,-14.2,-9.36,-5.92,-3.92,-4.78,-11.23,-6.31,-3.91,-3.64,-4.18,-10.91,-8.39,-2.54,-2.93,-4.64,-5.84,-3.34,-2.16,-0.68,-2.61,,,,,,
197305,-11.57,-10.8,-8.8,-7.75,-8.2,-11.13,-9.23,-7.68,-5.89,-9.16,-9.14,-7.92,-4.85,-2.88,-6.52,-6.96,-7.76,-2.25,-2.47,-4.55,0.24,-1.12,-0.97,-3.28,-5.53,,,,,,
197306,-5.62,-3.97,-4.63,-2.92,-2.4,-6.68,-4.16,-2.85,-2.1,-1.54,-6.52,-2.7,-1.81,-0.87,-2.87,-4.62,-3.85,-2.89,-0.99,-3.73,-0.34,-0.31,0.7,-0.71,-2.1,,,,,,
197307,18.99,15.97,12.19,13.53,10.45,22.27,13.39,10.99,7.21,9.9,19.05,9.76,7,2.07,7.5,15.41,9.53,6.96,3.05,8.71,5.46,5.46,-0.11,2.11,3.63,,,,,,
197308,-5.42,-7.02,-5.77,-5.99,-4.42,-3.33,-6.66,-4.74,-5.14,-3.94,-3.08,-4.32,-4.03,-2.27,-0.84,-2.89,-0.96,-2.1,-3.08,-0.24,-3.46,-2.43,-3.7,-2.32,0.8,,,,,,
197309,11.71,10.94,6.59,8.02,6.8,11.3,11.5,11.58,7.14,10.29,11.36,10.09,10.24,8.71,10.4,10.12,11.87,11.59,9.75,10.54,-0.09,7.77,8.74,8.78,8.28,,,,,,
197310,-2.84,0.34,0.63,0.32,1.52,-3.24,-2.73,1.37,0.97,1.4,-3.78,2.42,0.28,0.16,1.32,-2.87,-1.77,1.28,-0.59,1.96,0.49,-0.7,0.25,-3.05,2.33,,,,,,
197311,-24.92,-21.68,-19.1,-16.85,-18.04,-23.37,-20.16,-19,-15.89,-15.85,-22.88,-18.17,-16.12,-11.98,-16,-19.85,-17.25,-14.37,-12.04,-14.85,-10.63,-12.72,-10.91,-6.36,-8.55,,,,,,
197312,-4.01,-4.82,-4.49,-2.86,-4.07,-0.61,-4.28,-0.98,-1.31,-0.87,-1.63,1.23,0.66,1.31,2.38,-0.78,2.7,6.72,3.1,6.09,-1.91,0.88,7.24,5.15,10.12,,,,,,
197401,10.32,14.36,15.18,12.38,18.69,4.52,10.82,9.73,10.91,13.38,5.59,4.05,8.54,6.74,11.4,-1.54,2.11,2.92,7.68,5.63,-1.95,0.64,-2.84,0.67,0.42,,,,,,
