Date,Div_growth,DEF = LT Corp. - LT govt.,TERM = ST govt.-LT govt.
196305,0.005325,0.002538,-0.000168
196306,0.001429,0.002363,-0.000329
196307,0.001277,-0.000296,0.000416
196308,0.004649,0.001351,-0.00033
196309,0.001419,-0.002739,-0.002288
196310,0.001432,0.007499,-0.005482
196311,0.006143,-0.003561,0.002366
196312,0.001758,-0.002782,-0.003533
196401,0.001059,0.010074,-0.004304
196402,0.004554,0.006497,-0.003707
196403,0.001669,-0.009853,0.000561
196404,0.000936,-0.000672,0.00174
196405,0.004872,0.000677,0.002459
196406,0.001667,-0.002086,0.00384
196407,0.000991,0.004439,-0.002206
196408,0.004309,0.001705,-0.000843
196409,0.001688,-0.002839,0.002145
196410,0.001139,0.000681,0.001383
196411,0.005762,-0.002089,-0.001202
196412,0.001751,0.005783,-0.000117
196501,0.000983,0.004086,0.001167
196502,0.004312,-0.000495,-0.00158
196503,0.001713,-0.004143,0.00177
196504,0.000915,-0.001543,0.000594
196505,0.004752,-0.002572,-0.001332
196506,0.001723,-0.004413,0.001197
196507,0.000888,-0.000297,-0.000899
196508,0.00475,0.000691,-0.004575
196509,0.001595,0.001886,-0.006488
196510,0.001059,0.001885,-0.000436
196511,0.006026,0.000523,-0.009684
196512,0.001569,-0.007196,-0.011036
196601,0.000891,0.012712,-0.014115
196602,0.004393,0.014051,-0.028375
196603,0.001823,-0.034518,0.025696
196604,0.000983,0.007618,-0.009657
196605,0.004944,0.00336,-0.010025
196606,0.001746,0.004577,-0.005307
196607,0.000961,-0.006133,-0.007207
196608,0.005324,-0.005391,-0.024621
196609,0.001737,-0.024607,0.029105
196610,0.001123,0.003215,0.018197
196611,0.00691,0.013044,-0.01875
196612,0.001801,-0.02037,0.037143
196701,0.001453,0.029136,0.011054
196702,0.004688,0.002025,-0.025558
196703,0.001802,-0.00794,0.015837
196704,0.000912,0.02268,-0.032263
196705,0.004924,-0.021604,-0.00719
196706,0.001562,0.009187,-0.033769
196707,0.000912,-0.002707,0.003663
196708,0.004791,0.007796,-0.011506
196709,0.001411,0.009854,-0.003642
196710,0.001217,0.012385,-0.043757
